"","Country","(ES$Country %in% countries_1985_05)","AQ","CSEQ","CSTORE","REC","WQ","WA","LIVE","CROP","Dev","MEAN","avg_gini","avg_gini2"
"56","Ireland",TRUE,0.0136207,240.657,275.621,16.1281,0.00303648,62.4461,70.6167,0.502826,"Most Developed",0.00303648,31.7514368019104,33.3923038419088
"57","Israel",TRUE,0.0102594,58.9943,59.9693,16.9427,0.00542272,626.077,17.1935,0.946373,"Rest of World",0.00542272,34.7937395477295,31.7186853504181
"58","Italy",TRUE,0.0190038,233.251,100.421,15.9712,0.011612,191.444,19.4433,6.52401,"Most Developed",0.011612,33.7261851291656,31.9918294734955
"59","Japan",TRUE,0.028694,184.216,235.617,16.4787,0.0234173,330.194,10.5379,0.890903,"Most Developed",0.0234173,30.3383601417542,30.1369496669769
"60","Jordan",TRUE,0.0024688,-57.1458,50.4975,15.1841,0.00230547,338.908,2.04448,0.1082865,"Rest of World",0.00230547,38.8211136169434,37.8739222412109
"61","Kazakhstan",TRUE,0.00281375,-170.405,64.8956,14.2326,0.00106875,9.01583,1.55434,0.469213,"Rest of World",0.00106875,32.3087258033752,26.1842388124466
"62","Kenya",TRUE,0.00400665,-198.048,89.1867,15.5193,0.00563707,86.8528,14.3311,0.462217,"Rest of World",0.00563707,45.7287353897095,48.3525917720795
"63","Korea, Republic of",TRUE,0.0372698,204.61,76.7143,13.8711,0.0309659,460.052,30.761,1.06833,"Most Developed",0.00481247,30.0842327709198,31.0475992279053
"64","Kyrgyz Republic",TRUE,0.00209159,-134.573,42.2053,13.52,0.0154001,86.6402,4.52919,0.142974,"Rest of World",0.0154001,39.4919447727203,36.0355640125275
"65","Latvia",TRUE,0.00895253,107.196,212.67,15.6082,0.002223,20.3758,9.59477,0.709995,"Rest of World",0.002223,33.6067725582123,24.580098736763
"66","Lesotho",TRUE,0.00538113,76.6208,91.8175,14.6232,0.0153562,63.846,29.5166,0.6752708,"Least Developed",0.0153562,55.2366599416733,57.3811389656067
"67","Lithuania",TRUE,0.00958711,95.7936,192.096,15.6771,0.00373637,38.4481,10.4946,3.32405,"Rest of World",0.00373637,33.1524528331757,24.6174722900391
"68","Macedonia, FYR",TRUE,0.00905875,-61.6033,87.4676,13.9792,0.00589103,110.942,9.93248,1.210393,"Rest of World",0.0160181,28.3116577072144,24.6848089953831
"69","Madagascar",TRUE,0.00433489,379.951,131.871,15.1793,0.00747067,35.0321,9.85734,0.2674177,"Least Developed",0.00747067,40.898504360199,36.8725508817037
"70","Malawi",TRUE,0.00525974,90.9482,105.092,16.5459,0.00849615,104.88,5.19157,2.003828,"Least Developed",0.00849615,43.3590544548035,57.1572182655334
"71","Malaysia",TRUE,0.0234106,37.8372,300.872,12.8747,0.0105603,81.4056,3.05187,2.494171,"Rest of World",0.0105603,40.8039910774231,41.0364751543318
"72","Mali",TRUE,0.00104462,-104.906,39.6888,13.0783,0.0035976,30.9193,4.0271,0.2037961,"Rest of World",0.0035976,38.9294274730682,38.7009322874887
"73","Mauritania",TRUE,0.000453491,-33.2716,20.8589,12.177,0.00132388,10.8968,1.44308,0.0069804,"Least Developed",0.00132388,35.6520012626648,41.7338408660889
"74","Mexico",TRUE,0.00665561,25.0778,173.693,15.8703,0.00338371,75.5484,11.2858,1.738976,"Rest of World",0.00338371,47.369667930603,47.1850106321062
"75","Moldova",TRUE,0.00717676,-11.6087,145.977,11.978,0.00114972,77.6956,10.0095,9.49697,"Rest of World",0.00114972,39.8443481216431,26.460177230835
"76","Mongolia",TRUE,0.00101385,-107.467,88.8067,15.0103,0.000810514,3.76856,1.3944,0.001036308,"Rest of World",0.000810514,33.8565699825287,34.3222547912598
"77","Morocco",TRUE,0.00209847,-72.1964,47.8769,19.6958,0.00548547,127.643,4.18734,3.827406,"Rest of World",0.00548547,38.7379111461639,36.7105901813507
"78","Namibia",TRUE,0.00160261,-99.5184,39.8663,19.0318,0.00040744,4.35131,1.92838,0.002324322,"Rest of World",0.00040744,63.8856232910156,65.1856472524007
"79","Nepal",TRUE,0.00314968,158.731,137.249,14.9011,0.101183,448.013,31.0744,6.076889,"Least Developed",0.101183,42.5255340042114,38.4810042572022
"80","Netherlands",TRUE,0.064858,165.376,220.538,15.1038,0.00114647,259.288,119.473,2.730018,"Most Developed",0.00114647,24.8756521396637,25.288660326004
"81","New Zealand",TRUE,0.0148315,465.566,179.7,20.1672,0.0015274,12.2317,29.4692,0.01677144,"Most Developed",0.0015274,36.1689651355743,32.1641284713745
"82","Nicaragua",TRUE,0.00573134,-4.42962,209.49,18.0189,0.00552482,41.5379,18.21,1.103351,"Rest of World",0.00552482,50.8856396484375,52.1551655197144
"83","Niger",TRUE,0.000732651,-97.0926,28.6734,13.8813,0.00269347,45.3253,4.38719,3.280988,"Least Developed",0.00269347,43.0709638252258,40.7792288541794
"84","Nigeria",TRUE,0.00653831,-271.444,108.724,15.2029,0.0137553,147.405,13.614,9.61196,"Rest of World",0.0137553,44.8650520744324,42.2415377349854
"85","Norway",TRUE,0.00298342,-118.489,162.271,13.1634,0.00349393,13.2476,2.33394,0.02290886,"Most Developed",0.00349393,24.2438506679535,23.5253830337524
"86","Pakistan",TRUE,0.00340114,-114.452,51.2376,13.7735,0.0137033,150.545,24.3397,6.511828,"Rest of World",0.0137033,31.0835819396973,33.0313302154541
"87","Panama",TRUE,0.0125102,-136.918,255.083,16.2438,0.00781488,43.1598,13.7182,0.4553468,"Rest of World",0.00781488,49.953422454834,49.2333795547485
"88","Papua New Guinea",TRUE,0.00760021,587.492,339.754,11.0318,0.00464401,13.7745,0.684052,0.0148474,"Rest of World",0.00464401,49.055682964325,40.0481484985352
"89","Paraguay",TRUE,0.00427607,43.0438,151.813,13.5631,0.0022665,15.3366,16.2678,1.504543,"Rest of World",0.0022665,49.9488087120056,43.7262034797668
"90","Peru",TRUE,0.00421213,452.824,233.912,15.6687,0.00255238,21.2417,3.54995,0.0469367,"Rest of World",0.00255238,52.7949374275208,52.0564847259521
"91","Philippines",TRUE,0.012768,84.7253,186.969,15.8165,0.0284946,273.038,12.2013,9.16006,"Rest of World",0.0284946,43.5216901931763,41.1853708534241
"92","Poland",TRUE,0.0202637,71.2311,155.669,17.0606,0.00512864,112.718,20.6461,5.472292,"Most Developed",0.00512864,29.7622918300629,26.5599825611115
"93","Portugal",TRUE,0.0166172,290.387,135.557,15.8219,0.00663192,87.4482,16.6071,2.62604,"Most Developed",0.00663192,36.0884688663483,31.8555632209778
"94","Romania",TRUE,0.0109615,114.81,119.093,16.9767,0.0271236,77.935,13.7193,11.31888,"Rest of World",0.000866851,29.2676646099091,23.4899600546701
"95","Russian Federation",TRUE,0.00238338,-18.4171,195.408,13.4769,0.000866851,6.86104,0.976527,0.567995,"Rest of World",0.067155,38.4486959457397,30.7429873256683
"96","Rwanda",TRUE,0.00837092,74.8665,241.032,14.7628,0.067155,462.196,29.4501,17.90536,"Least Developed",0.00462042,46.2851718482971,31.4768767662048
"97","Senegal",TRUE,0.00294099,-135.222,59.5496,17.2165,0.00462042,54.9148,10.9941,2.4642498,"Least Developed",0.0178294,38.2163565998077,42.2803240623474
"98","Sierra Leone",TRUE,0.00861365,-197.35,178.441,13.7656,0.0178294,68.3845,2.97706,1.012928,"Least Developed",0.0254649,46.1934790649414,57.3091586794172
"99","Slovakia",TRUE,0.0180885,146.928,105.948,17.793,0.0116498,141.401,10.6813,5.501482,"Most Developed",0.00572596,26.202058216095,18.070484430525
"100","Slovenia",TRUE,0.0182335,187.361,106.65,19.6,0.0254649,180.233,18.2309,0.506728,"Most Developed",0.00112252,22.7506730804443,20.7921391752031
"101","South Africa",TRUE,0.00975207,28.3695,68.6891,15.7961,0.00350247,78.2866,7.37034,1.282635,"Rest of World",0.00623874,57.0207821884155,55.3043547821045
"102","Spain",TRUE,0.0155484,12.9408,104.405,17.5574,0.00481247,83.6411,17.4817,7.29387,"Most Developed",0.00198575,33.4784567317963,30.4905214672089
"103","Sri Lanka",TRUE,0.00946143,-210.863,121.526,17.8629,0.0297833,333.255,11.6248,5.38396,"Rest of World",0.00159213,36.2043966808319,34.1672635231018
"104","Swaziland",TRUE,0.0210405,460.33,149.637,14.1309,0.00603582,44.2491,22.5425,0.5139695,"Rest of World",0.0429749,50.1655699882507,58.1802875518799
"105","Sweden",TRUE,0.00443191,41.2191,331.38,16.2365,0.00324165,18.9199,2.4854,0.2829678,"Most Developed",0.00379694,23.0627388324738,20.5697879085541
"106","Switzerland",TRUE,0.0129191,112.317,127.764,14.5462,0.0429749,400.054,29.965,0.444324,"Most Developed",0.0141193,27.5437396907806,29.8200389575958
"107","Tajikistan",TRUE,0.00191322,-143.221,40.8126,14.1023,0.0141193,71.3265,6.84584,0.2163349,"Rest of World",0.0148479,37.1807772960663,28.0932576255798
"108","Tanzania",TRUE,0.00504257,-7.78888,142.853,18.757,0.00530104,50.0294,12.4945,0.3652562,"Least Developed",0.00589103,34.8238549594879,36.1411766242981
"109","Thailand",TRUE,0.0125451,-78.9746,118.893,14.2944,0.0148479,121.532,10.0082,11.915098,"Rest of World",0.0148364,39.9981237945557,42.6318493461609
"110","Tunisia",TRUE,0.0018389,-76.5821,47.0102,14.1506,0.00141478,132.45,5.49069,3.75907,"Rest of World",0.000446593,38.0487779426575,38.2535171718597
"111","Turkey",TRUE,0.00651453,-103.542,87.0356,12.9623,0.00661675,113.498,10.7404,4.57694,"Rest of World",0.0195048,41.6452124404907,42.9048749584622
"112","Turkmenistan",TRUE,0.0018817,-197.526,27.6236,14.2342,0.000446593,4.67194,4.09562,0.1729367,"Rest of World",0.0037216,39.6755544147491,26.6870985469818
"113","Uganda",TRUE,0.00757447,-29.5507,124.774,16.1657,0.0195048,149.708,19.647,5.37094,"Least Developed",0.066774,39.4074286899567,38.3074300874983
"114","Ukraine",TRUE,0.0100209,23.608,150.268,13.345,0.0037216,70.29,9.00345,9.42408,"Rest of World",0.006529,31.2116178531647,25.4910739555359
"115","United Kingdom",TRUE,0.0292619,176.893,224.818,13.9257,0.006529,251.222,37.936,2.879923,"Most Developed",0.00256152,34.2432695236206,32.8706978778839
"116","United States",TRUE,0.00809529,-61.7989,152.232,15.6005,0.00308728,33.3658,6.90829,4.251215,"Most Developed",0.004934,36.1083092803955,34.9143921203613
"117","Uruguay",TRUE,0.00744663,169.665,187.102,13.8909,0.00256152,17.6328,47.2213,0.368971,"Rest of World",0.00166906,40.7988664779663,39.8517177886963
"118","Uzbekistan",TRUE,0.00307691,-159.072,33.4194,13.914,0.004934,47.7125,10.8719,0.834564,"Rest of World",0.0330221,34.1164374542236,27.275476600647
"119","Venezuela",TRUE,0.0109205,31.794,195.765,17.4929,0.00166906,24.39,12.044,0.0547586,"Rest of World",0.00340417,43.066311706543,40.039032119751
"120","Zambia",TRUE,0.004639,251.768,187.683,17.8734,0.0038173,19.0587,2.46885,0.0420277,"Least Developed",NA,48.686012966156,49.9847726135254
"121","Zimbabwe",TRUE,0.00461165,297.991,86.4333,17.0733,0.00343259,35.9111,8.46419,0.2597054,"Rest of World",NA,49.6216412086487,48.3759316062927
