"","Country","(ES$Country %in% countries_1985_05)","AQ","CSEQ","CSTORE","REC","WQ","WA","LIVE","CROP","Dev","MEAN","avg_gini","avg_gini2","Data.Quality","HDI","Per.Capita.GDP","Region","Income.Group","Population..millions.","Cropland.Footprint","Grazing.Footprint","Forest.Product.Footprint","Carbon.Footprint","Fish.Footprint","Built.up.land","Total.Ecological.Footprint"
"94","Slovenia",TRUE,0.0182335,187.361,106.65,19.6,0.0254649,180.233,18.2309,0.506728,"Most Developed",0.00112252,22.7506730804443,20.7921391752031,"6",0.877625,25040.5,"EU-27","HI",2.07,0.64,0.17,0.65,4.27,0.05,0.04,5.81
"95","South Africa",TRUE,0.00975207,28.3695,68.6891,15.7961,0.00350247,78.2866,7.37034,1.282635,"Rest of World",0.00623874,57.0207821884155,55.3043547821045,"5",0.658977,8089.87,"Africa","UM",52.39,0.44,0.11,0.29,2.34,0.08,0.04,3.31
"96","Spain",TRUE,0.0155484,12.9408,104.405,17.5574,0.00481247,83.6411,17.4817,7.29387,"Most Developed",0.00198575,33.4784567317963,30.4905214672089,"6",0.873709,32008.7,"EU-27","HI",46.76,0.78,0.15,0.17,2.22,0.32,0.04,3.67
"97","Sri Lanka",TRUE,0.00946143,-210.863,121.526,17.8629,0.0297833,333.255,11.6248,5.38396,"Rest of World",0.00159213,36.2043966808319,34.1672635231018,"6",0.748641,2880.03,"Asia-Pacific","LM",21.1,0.31,0.01,0.16,0.52,0.27,0.05,1.32
"98","Swaziland",TRUE,0.0210405,460.33,149.637,14.1309,0.00603582,44.2491,22.5425,0.5139695,"Rest of World",0.0429749,50.1655699882507,58.1802875518799,"3L",0.528936,4657.48,"Africa","LM",1.23,0.35,0.41,0.52,0.67,0.01,0.06,2.01
"99","Sweden",TRUE,0.00443191,41.2191,331.38,16.2365,0.00324165,18.9199,2.4854,0.2829678,"Most Developed",0.00379694,23.0627388324738,20.5697879085541,"5",0.903746,59381.9,"EU-27","HI",9.51,1.47,0.27,1.3,3.88,0.09,0.24,7.25
"100","Switzerland",TRUE,0.0129191,112.317,127.764,14.5462,0.0429749,400.054,29.965,0.444324,"Most Developed",0.0141193,27.5437396907806,29.8200389575958,"6",0.92696,88506.2,"Other Europe","HI",8,0.75,0.22,0.38,4.26,0.07,0.12,5.79
"101","Tajikistan",TRUE,0.00191322,-143.221,40.8126,14.1023,0.0141193,71.3265,6.84584,0.2163349,"Rest of World",0.0148479,37.1807772960663,28.0932576255798,"5",0.617036,836.173,"Middle East/Central Asia","LI",8.01,0.46,0.14,0.1,0.13,0,0.08,0.91
"102","Thailand",TRUE,0.0125451,-78.9746,118.893,14.2944,0.0148479,121.532,10.0082,11.915098,"Rest of World",0.0148364,39.9981237945557,42.6318493461609,"6",0.723498,5479.29,"Asia-Pacific","UM",66.78,0.67,0.02,0.24,1.54,0.13,0.07,2.66
"103","Tunisia",TRUE,0.0018389,-76.5821,47.0102,14.1506,0.00141478,132.45,5.49069,3.75907,"Rest of World",0.000446593,38.0487779426575,38.2535171718597,"5",0.71864,4305.07,"Africa","UM",10.88,0.76,0.09,0.28,1.11,0.06,0.04,2.34
"104","Turkey",TRUE,0.00651453,-103.542,87.0356,12.9623,0.00661675,113.498,10.7404,4.57694,"Rest of World",0.0195048,41.6452124404907,42.9048749584622,"5",0.75628,10437.7,"Middle East/Central Asia","UM",74,0.87,0.12,0.34,1.92,0.04,0.04,3.33
"105","Turkmenistan",TRUE,0.0018817,-197.526,27.6236,14.2342,0.000446593,4.67194,4.09562,0.1729367,"Rest of World",0.0037216,39.6755544147491,26.6870985469818,"6",0.677043,5290.14,"Middle East/Central Asia","LM",5.17,0.73,0.44,0.08,4.13,0.01,0.09,5.47
"106","Uganda",TRUE,0.00757447,-29.5507,124.774,16.1657,0.0195048,149.708,19.647,5.37094,"Least Developed",0.066774,39.4074286899567,38.3074300874983,"6",0.476009,601.354,"Africa","LI",36.35,0.34,0.15,0.54,0.08,0.11,0.04,1.24
"107","Ukraine",TRUE,0.0100209,23.608,150.268,13.345,0.0037216,70.29,9.00345,9.42408,"Rest of World",0.006529,31.2116178531647,25.4910739555359,"5",0.743114,3589.63,"Other Europe","LM",45.53,0.62,0.01,0.16,1.92,0.06,0.07,2.84
"108","United Kingdom",TRUE,0.0292619,176.893,224.818,13.9257,0.006529,251.222,37.936,2.879923,"Most Developed",0.00256152,34.2432695236206,32.8706978778839,"6",0.90139,40980.5,"EU-27","HI",63.03,0.82,0.28,0.45,3.14,0.08,0.18,4.94
"109","Uruguay",TRUE,0.00744663,169.665,187.102,13.8909,0.00256152,17.6328,47.2213,0.368971,"Rest of World",0.00166906,40.7988664779663,39.8517177886963,"3B",0.787632,14238.1,"Latin America","UM",3.4,0.19,0.98,0.55,0.98,0.05,0.17,2.91
"110","Uzbekistan",TRUE,0.00307691,-159.072,33.4194,13.914,0.004934,47.7125,10.8719,0.834564,"Rest of World",0.0330221,34.1164374542236,27.275476600647,"6",0.66754,1560.85,"Middle East/Central Asia","LM",28.54,0.62,0.13,0.08,1.41,0,0.08,2.32
"111","Zambia",TRUE,0.004639,251.768,187.683,17.8734,0.0038173,19.0587,2.46885,0.0420277,"Least Developed",NA,48.686012966156,49.9847726135254,"6",0.575617,1740.64,"Africa","LM",14.08,0.19,0.18,0.33,0.24,0.01,0.04,0.99
"112","Zimbabwe",TRUE,0.00461165,297.991,86.4333,17.0733,0.00343259,35.9111,8.46419,0.2597054,"Rest of World",NA,49.6216412086487,48.3759316062927,"6",0.490567,865.913,"Africa","LI",13.72,0.2,0.32,0.29,0.53,0.01,0.02,1.37
